Timestamp,FPS,Angle
1773396112.433,7.1,162.03
1773396112.519,11.6,161.76
1773396112.624,9.6,162.42
1773396112.648,41.7,162.77
1773396112.673,39.8,163.17
1773396112.712,25.4,164.29
1773396112.740,36.1,165.45
1773396112.769,34.9,166.07
1773396112.809,24.9,165.79
1773396112.839,32.7,165.64
1773396112.877,26.6,165.34
1773396112.901,41.1,165.11
1773396112.971,14.3,166.14
1773396113.004,30.9,166.71
1773396113.041,27.1,166.87
1773396113.143,9.7,166.73
1773396113.209,15.3,166.58
1773396113.241,31.5,166.21
1773396113.270,34.0,165.54
1773396113.311,24.3,165.55
1773396113.338,37.5,165.44
1773396113.406,14.8,165.44
1773396113.537,7.6,164.84
1773396113.668,7.6,164.92
1773396113.703,28.5,165.41
1773396113.754,19.7,165.51
1773396113.778,42.6,166.37
1773396113.803,39.8,166.40
1773396113.841,25.8,166.30
1773396113.868,37.5,166.27
1773396113.935,14.9,166.39
1773396114.006,14.1,166.50
1773396114.036,33.4,166.52
1773396114.107,14.1,166.27
1773396114.139,30.9,166.30
1773396114.171,31.9,166.42
1773396114.202,31.8,166.25
1773396114.242,25.0,166.06
1773396114.270,36.4,166.21
1773396114.301,31.6,165.91
1773396114.342,24.8,166.19
1773396114.372,32.7,166.19
1773396114.407,28.9,166.15
1773396114.440,30.7,166.51
1773396114.471,32.1,166.67
1773396114.509,26.3,166.72
1773396114.536,37.4,166.46
1773396114.573,26.6,166.45
1773396114.601,35.8,166.52
1773396114.639,26.4,166.79
1773396114.671,31.3,166.83
1773396114.701,33.0,167.10
1773396114.740,25.7,167.35
1773396114.769,34.4,167.44
1773396114.805,27.6,167.61
1773396114.837,31.2,167.24
1773396114.871,29.4,167.29
1773396114.908,27.1,167.33
1773396114.935,37.0,167.34
1773396114.971,27.7,167.56
1773396115.005,29.5,167.57
1773396115.200,5.1,167.60
1773396115.347,6.8,167.48
1773396115.411,15.6,167.42
1773396115.435,41.7,166.96
1773396115.466,32.0,165.94
1773396115.505,25.5,165.36
1773396115.535,34.0,166.12
1773396115.571,27.4,165.64
1773396115.602,32.8,165.57
1773396115.633,31.8,165.97
1773396115.670,27.4,166.24
1773396115.708,25.9,166.30
1773396115.738,33.7,165.12
1773396115.772,29.8,165.45
1773396115.804,30.8,165.04
1773396115.835,32.5,165.26
1773396115.867,31.0,165.05
1773396115.905,26.0,165.19
1773396115.938,31.2,164.89
1773396115.977,25.5,165.30
1773396116.008,32.0,165.44
1773396116.036,36.2,165.49
1773396116.107,14.1,165.73
1773396116.140,29.8,166.59
1773396116.168,35.8,166.57
1773396116.202,29.7,166.51
1773396116.236,28.9,166.27
1773396116.276,25.1,166.23
1773396116.306,34.1,166.26
1773396116.334,35.9,166.32
1773396116.375,24.3,166.19
1773396116.405,32.8,166.38
1773396116.440,29.0,166.59
1773396116.485,21.9,166.64
1773396116.509,41.6,167.20
1773396116.650,7.1,167.07
1773396116.707,17.6,167.56
1773396116.814,9.4,167.08
1773396116.837,43.2,166.81
1773396116.868,32.0,166.69
1773396116.905,26.9,166.69
1773396116.934,34.5,166.74
1773396117.069,7.4,166.81
1773396117.437,2.7,165.77
1773396117.471,29.8,165.71
1773396117.500,33.7,165.96
1773396117.538,26.5,166.59
1773396117.569,32.3,165.58
1773396117.612,23.2,165.78
1773396117.638,38.0,165.94
1773396117.670,31.6,165.16
1773396117.710,24.9,165.32
1773396117.747,27.2,165.52
1773396117.942,5.1,166.33
1773396117.970,36.4,166.77
1773396118.003,30.5,166.85
1773396118.040,26.9,166.86
1773396118.068,35.3,166.79
1773396118.174,9.5,167.11
1773396118.205,32.3,167.50
1773396118.235,32.7,167.53
1773396118.279,23.1,168.03
1773396118.306,36.3,168.00
1773396118.339,30.2,167.85
1773396118.378,26.0,167.69
1773396118.449,13.9,167.71
1773396118.485,28.4,167.84
1773396118.572,11.5,167.60
1773396118.602,32.6,167.68
1773396118.704,9.8,167.70
1773396118.815,9.0,166.80
1773396118.839,41.6,166.15
1773396118.872,30.2,166.00
1773396118.904,31.7,165.94
1773396118.941,26.7,165.27
1773396118.986,22.5,165.03
1773396119.013,36.4,164.38
1773396119.037,41.8,164.46
1773396119.074,27.1,164.16
1773396119.107,30.6,163.95
1773396119.140,29.5,164.12
1773396119.171,33.2,164.51
1773396119.210,25.5,164.97
1773396119.237,36.9,164.90
1773396119.382,6.9,164.99
1773396119.406,41.3,165.39
1773396119.438,31.4,167.23
1773396119.503,15.3,167.76
1773396119.538,29.3,168.35
1773396119.650,8.9,169.75
1773396119.676,39.0,170.93
1773396119.737,16.5,176.04
1773396119.776,25.4,178.15
1773396119.805,34.4,176.55
1773396119.838,30.2,172.26
1773396119.881,23.5,169.26
1773396119.906,40.0,163.39
1773396119.938,30.9,159.82
1773396119.970,31.4,155.22
1773396120.012,23.6,147.71
1773396120.052,24.9,143.79
1773396120.238,5.4,130.63
1773396120.277,25.3,129.07
1773396120.306,34.3,127.95
1773396120.340,30.0,124.30
1773396120.371,31.4,119.03
1773396120.403,31.4,116.97
1773396120.450,21.3,114.19
1773396120.475,40.8,114.27
1773396120.505,32.4,113.55
1773396120.537,31.6,109.52
1773396120.576,25.6,108.41
1773396120.616,25.3,108.36
1773396120.643,36.2,108.19
1773396120.672,35.1,109.74
1773396120.705,30.0,112.16
1773396120.740,28.9,113.19
1773396120.772,30.9,112.88
1773396120.809,27.0,111.47
1773396120.842,30.4,111.12
1773396120.870,35.2,111.00
1773396120.915,22.2,110.86
1773396120.941,38.9,111.08
1773396120.974,30.8,110.98
1773396121.009,28.3,110.79
1773396121.074,15.5,110.93
1773396121.206,7.6,115.32
1773396121.237,32.0,118.64
1773396121.342,9.5,127.20
1773396121.406,15.6,131.20
1773396121.438,31.7,133.18
1773396121.469,31.6,133.53
1773396121.537,14.7,133.87
1773396121.576,26.0,132.06
1773396121.605,33.9,132.91
1773396121.652,21.3,132.62
1773396121.679,37.9,131.58
1773396121.704,39.8,131.94
1773396121.814,9.1,132.04
1773396121.845,32.1,132.74
1773396121.874,35.0,132.54
1773396121.910,27.6,132.23
1773396121.937,36.9,131.62
1773396122.005,14.7,130.98
1773396122.042,27.3,131.29
1773396122.080,26.2,130.75
1773396122.111,32.2,129.81
1773396122.143,31.6,124.91
1773396122.171,35.3,122.01
1773396122.208,27.2,118.41
1773396122.281,13.6,114.22
1773396122.413,7.6,105.24
1773396122.442,35.1,102.71
1773396122.493,19.6,101.85
1773396122.517,42.2,102.43
1773396122.542,39.4,101.14
1773396122.578,28.0,100.19
1773396122.608,33.1,100.01
1773396122.674,15.2,100.93
1773396122.706,31.0,101.18
1773396122.752,21.8,101.54
1773396122.780,36.0,101.85
1773396122.811,31.5,102.20
1773396122.846,29.2,102.56
1773396122.872,38.4,102.82
1773396122.912,24.7,103.03
1773396122.975,15.9,102.89
1773396123.007,31.4,102.97
1773396123.038,32.2,103.19
1773396123.086,20.8,103.12
1773396123.111,40.5,103.00
1773396123.144,30.1,102.70
1773396123.176,31.1,102.50
1773396123.209,30.4,102.52
1773396123.316,9.3,102.31
1773396123.374,17.4,101.82
1773396123.408,28.9,101.56
1773396123.447,25.5,101.46
1773396123.478,32.8,101.44
1773396123.514,28.0,101.24
1773396123.545,32.0,101.69
1773396123.672,7.9,101.76
1773396123.717,21.9,101.85
1773396123.742,40.0,102.10
1773396123.781,26.1,102.16
1773396123.839,17.2,102.20
1773396123.880,24.3,102.49
1773396123.911,32.2,102.71
1773396123.940,34.8,102.55
1773396124.212,3.7,103.12
1773396124.238,38.3,103.10
1773396124.341,9.7,103.28
1773396124.375,29.5,103.70
1773396124.406,32.5,104.04
1773396124.446,24.9,104.38
1773396124.474,35.7,104.50
1773396124.509,28.7,104.51
1773396124.685,5.7,104.43
1773396124.708,42.5,104.43
1773396124.739,32.5,104.27
1773396124.783,22.9,104.37
1773396125.286,2.0,104.81
1773396125.310,40.9,105.07
1773396125.386,13.2,105.16
1773396125.423,27.1,105.28
1773396125.449,38.1,105.41
1773396125.475,37.9,105.54
1773396125.516,24.7,105.40
1773396125.544,35.9,105.48
1773396125.574,32.9,105.54
1773396125.614,25.2,105.62
1773396125.641,36.5,105.72
1773396125.676,28.9,106.20
1773396125.709,30.3,106.27
1773396125.740,31.5,106.35
1773396125.809,14.5,106.39
1773396125.846,27.4,106.53
1773396125.885,25.7,106.59
1773396125.909,41.3,106.59
1773396125.948,25.8,106.61
1773396125.978,33.0,106.35
1773396126.010,31.1,106.32
1773396126.042,31.0,106.41
1773396126.084,23.9,106.46
1773396126.113,35.1,106.58
1773396126.141,35.4,106.78
1773396126.176,28.7,106.74
1773396126.222,21.8,106.62
1773396126.248,38.1,106.62
1773396126.287,25.5,106.47
1773396126.314,37.8,106.44
1773396126.346,30.8,106.45
1773396126.379,30.4,106.33
1773396126.407,35.2,106.12
1773396126.448,24.5,106.15
1773396126.482,29.2,106.04
1773396126.510,36.5,105.52
1773396126.541,31.8,105.67
1773396126.575,29.6,105.77
1773396126.611,28.1,105.73
1773396126.807,5.1,106.08
1773396126.852,22.1,106.23
1773396127.014,6.2,106.20
1773396127.043,34.6,106.27
1773396127.579,1.9,106.42
1773396127.616,26.9,106.48
1773396128.182,1.8,106.33
1773396128.213,32.4,106.25
1773396128.248,28.8,105.93
1773396128.284,28.1,105.87
1773396128.310,38.0,105.69
1773396128.350,25.3,105.57
1773396128.381,32.1,105.27
1773396128.485,9.6,105.27
1773396128.524,26.1,105.21
1773396128.621,10.3,105.34
1773396128.646,40.0,105.62
1773396128.693,21.2,106.14
1773396128.719,38.2,106.67
1773396128.744,40.9,106.74
1773396128.797,19.0,107.11
1773396128.821,41.2,107.22
1773396128.845,41.9,107.25
1773396128.885,25.0,107.27
1773396128.911,37.8,107.33
1773396128.952,24.4,107.50
1773396128.984,31.2,107.22
1773396129.009,39.5,107.29
1773396129.049,25.4,107.09
1773396129.077,34.8,107.00
1773396129.116,26.1,106.55
1773396129.143,37.4,106.02
1773396129.182,25.3,105.82
1773396129.217,28.2,105.88
1773396129.247,34.1,105.55
1773396129.281,29.3,105.66
