Timestamp,FPS,Angle
1773396216.324,3.6,0.00
1773396216.393,14.4,0.00
1773396216.410,57.3,0.00
1773396216.430,52.5,0.00
1773396216.446,60.5,0.00
1773396216.461,65.6,0.00
1773396216.477,62.7,0.00
1773396216.494,60.2,0.00
1773396216.511,58.7,0.00
1773396216.526,66.1,0.00
1773396216.542,63.8,0.00
1773396216.558,59.4,0.00
1773396216.576,57.1,0.00
1773396216.592,60.9,0.00
1773396216.609,59.5,0.00
1773396216.625,64.4,0.00
1773396216.641,63.3,0.00
1773396216.654,72.7,0.00
1773396216.676,46.0,0.00
1773396216.699,44.2,0.00
1773396216.735,27.4,0.00
1773396216.766,32.2,0.00
1773396216.812,21.7,0.00
1773396216.834,45.2,0.00
1773396216.864,33.3,0.00
1773396216.912,20.9,0.00
1773396216.944,31.1,0.00
1773396216.970,38.7,0.00
1773396217.011,24.6,0.00
1773396217.030,51.0,0.00
1773396217.069,25.6,0.00
1773396217.101,32.1,0.00
1773396217.148,20.9,0.00
1773396217.167,52.4,0.00
1773396217.200,31.1,0.00
1773396217.236,27.4,0.00
1773396217.267,32.5,0.00
1773396217.312,22.0,0.00
1773396217.345,30.4,0.00
1773396217.374,34.5,0.00
1773396217.403,35.0,0.00
1773396217.438,28.7,0.00
1773396217.474,27.6,0.00
1773396217.502,35.9,0.00
1773396217.530,35.0,0.00
1773396217.570,25.2,0.00
1773396217.601,31.9,0.00
1773396217.644,23.2,0.00
1773396217.669,39.8,0.00
1773396217.704,29.3,0.00
1773396217.752,20.7,0.00
1773396217.781,34.2,0.00
1773396217.802,48.7,0.00
1773396217.847,22.1,0.00
1773396217.867,50.4,0.00
1773396217.920,18.8,0.00
1773396217.944,41.0,0.00
1773396217.980,28.3,0.00
1773396218.013,30.5,0.00
1773396218.043,32.6,0.00
1773396218.071,36.2,0.00
1773396218.104,30.6,0.00
1773396218.131,36.8,0.00
1773396218.171,25.2,0.00
1773396218.206,28.4,0.00
1773396218.233,36.4,0.00
1773396218.277,23.0,0.00
1773396218.297,48.6,0.00
1773396218.335,26.8,0.00
1773396218.377,23.5,0.00
1773396218.412,28.4,0.00
1773396218.434,45.6,0.00
1773396218.463,34.4,0.00
1773396218.503,25.2,0.00
1773396218.535,31.3,0.00
1773396218.573,26.3,0.00
1773396218.601,35.7,0.00
1773396218.642,24.5,0.00
1773396218.669,37.2,0.00
1773396218.703,28.9,0.00
1773396218.739,28.1,0.00
1773396218.769,33.1,0.00
1773396218.802,30.2,0.00
1773396218.848,21.8,0.00
1773396218.875,37.6,0.00
1773396218.903,35.4,0.00
1773396218.942,25.8,0.00
1773396218.970,35.6,0.00
1773396219.006,27.9,0.00
1773396219.036,32.5,0.00
1773396219.069,30.3,0.00
1773396219.104,29.0,0.00
1773396219.135,32.3,0.00
1773396219.163,34.9,0.00
1773396219.205,24.1,0.00
1773396219.234,34.5,0.00
1773396219.270,27.7,0.00
1773396219.300,33.2,0.00
1773396219.332,31.4,0.00
1773396219.369,27.0,0.00
1773396219.401,31.9,0.00
1773396219.436,27.8,0.00
1773396219.468,31.7,0.00
1773396219.502,29.1,0.00
1773396219.542,25.5,0.00
1773396219.567,39.3,0.00
1773396219.605,26.6,0.00
1773396219.645,25.1,0.00
1773396219.681,27.6,0.00
1773396219.706,40.2,0.00
1773396219.744,25.8,0.00
1773396219.788,23.0,0.00
1773396219.803,66.7,0.00
1773396219.843,24.7,0.00
1773396219.883,25.5,0.00
1773396219.902,51.4,0.00
1773396219.947,22.4,0.00
1773396219.978,32.0,0.00
1773396220.009,32.1,0.00
1773396220.035,39.3,0.00
1773396220.067,30.5,0.00
1773396220.113,22.0,0.00
1773396220.137,41.1,0.00
1773396220.168,32.3,0.00
1773396220.205,27.2,0.00
1773396220.234,34.0,0.00
1773396220.271,27.1,0.00
1773396220.302,32.5,0.00
1773396220.354,19.3,0.00
1773396220.369,65.6,0.00
1773396220.401,30.7,0.00
1773396220.447,22.1,0.00
1773396220.470,43.9,0.00
1773396220.512,23.3,0.00
1773396220.544,31.4,0.00
1773396220.567,44.8,0.00
1773396220.604,26.6,0.00
1773396220.645,24.6,0.00
1773396220.671,39.0,0.00
1773396220.709,26.3,0.00
1773396220.738,34.2,0.00
1773396220.772,29.1,0.00
1773396220.803,32.9,0.00
1773396220.837,28.7,0.00
1773396220.869,31.4,0.00
1773396220.911,24.3,0.00
1773396220.936,39.0,0.00
1773396220.970,29.5,0.00
1773396221.004,29.2,0.00
1773396221.045,24.4,0.00
1773396221.065,49.9,0.00
1773396221.103,26.2,0.00
1773396221.145,23.8,0.00
1773396221.173,36.4,0.00
1773396221.201,35.2,0.00
1773396221.238,27.2,0.00
1773396221.269,32.5,0.00
1773396221.300,32.6,0.00
1773396221.337,26.6,0.00
1773396221.369,31.6,0.00
1773396221.406,27.2,0.00
1773396221.434,35.0,0.00
1773396221.484,20.0,0.00
1773396221.502,54.3,31.88
1773396221.533,33.1,0.00
1773396221.585,19.3,0.00
1773396221.602,58.1,0.00
1773396221.658,17.9,0.00
1773396221.672,68.3,0.00
1773396221.710,26.4,0.00
1773396221.741,32.7,0.00
1773396221.766,39.7,0.00
1773396221.804,26.1,0.00
1773396221.836,31.8,0.00
1773396221.872,27.3,0.00
1773396221.906,29.6,0.00
1773396221.936,33.3,0.00
1773396221.982,21.6,0.00
1773396222.009,38.1,0.00
1773396222.043,29.5,0.00
1773396222.071,35.5,0.00
1773396222.111,24.8,0.00
1773396222.143,31.5,0.00
1773396222.168,39.8,0.00
1773396222.212,22.4,0.00
1773396222.282,14.5,0.00
1773396222.347,15.3,0.00
1773396222.361,72.7,0.00
1773396222.407,21.5,0.00
1773396222.423,63.9,0.00
1773396222.445,45.6,0.00
1773396222.483,26.1,0.00
1773396222.512,34.7,0.00
1773396222.546,28.8,0.00
1773396222.571,40.5,0.00
1773396222.625,18.6,0.00
1773396222.641,62.5,0.00
1773396222.668,36.7,0.00
1773396222.701,30.1,0.00
1773396222.737,28.5,0.00
1773396222.768,32.0,0.00
1773396222.816,20.6,0.00
1773396222.846,33.8,0.00
1773396222.881,28.9,0.00
1773396222.903,44.7,0.00
1773396222.935,31.2,0.00
1773396222.983,20.9,0.00
1773396223.001,53.1,0.00
1773396223.061,16.7,0.00
1773396223.076,69.3,0.00
1773396223.117,24.1,0.00
1773396223.153,28.0,0.00
1773396223.169,61.4,0.00
1773396223.211,23.8,0.00
1773396223.246,28.6,0.00
1773396223.278,31.3,0.00
1773396223.317,25.8,0.00
1773396223.334,58.2,0.00
1773396223.383,20.6,0.00
1773396223.404,47.2,0.00
1773396223.439,28.3,0.00
1773396223.475,27.6,0.00
1773396223.502,37.6,0.00
1773396223.541,25.7,0.00
1773396223.572,31.8,0.00
1773396223.601,34.7,0.00
1773396223.638,27.3,0.00
1773396223.670,31.2,0.00
1773396223.710,24.7,0.00
1773396223.738,36.6,0.00
1773396223.792,18.3,0.00
1773396223.809,59.0,0.00
1773396223.837,36.0,0.00
1773396223.885,21.0,0.00
1773396223.906,46.6,0.00
1773396223.946,25.1,0.00
1773396223.997,19.5,0.00
1773396224.015,54.6,0.00
1773396224.045,33.6,0.00
1773396224.083,26.1,0.00
1773396224.111,36.0,0.00
1773396224.138,37.1,0.00
1773396224.171,30.0,0.00
1773396224.205,30.0,0.00
1773396224.243,26.2,0.00
1773396224.268,39.7,0.00
1773396224.320,19.2,0.00
1773396224.339,53.2,0.00
1773396224.378,25.4,0.00
1773396224.409,32.9,0.00
1773396224.436,36.7,0.00
1773396224.483,21.2,0.00
1773396224.506,43.2,0.00
1773396224.549,23.6,0.00
1773396224.571,44.7,0.00
1773396224.611,24.8,0.00
1773396224.640,35.1,0.00
1773396224.669,33.8,0.00
1773396224.721,19.4,0.00
1773396224.751,32.9,0.00
1773396224.769,57.9,0.00
1773396224.811,23.7,0.00
1773396224.836,38.9,0.00
1773396224.875,26.2,0.00
1773396224.906,32.4,0.00
1773396224.942,27.7,0.00
1773396224.983,23.9,0.00
1773396225.011,37.0,0.00
1773396225.052,24.1,0.00
1773396225.071,52.4,0.00
1773396225.107,27.7,0.00
1773396225.147,25.0,0.00
1773396225.173,39.2,0.00
1773396225.208,28.1,0.00
1773396225.238,34.0,0.00
1773396225.268,32.8,0.00
1773396225.327,16.8,0.00
1773396225.342,68.9,0.00
1773396225.381,25.7,0.00
1773396225.409,35.2,0.00
1773396225.437,36.2,0.00
1773396225.481,22.5,0.00
1773396225.508,37.4,0.00
1773396225.539,31.9,0.00
1773396225.572,31.1,0.00
1773396225.619,21.0,0.00
1773396225.643,43.0,0.00
1773396225.671,35.4,0.00
1773396225.720,20.4,0.00
1773396225.739,51.6,0.00
1773396225.769,33.7,0.00
1773396225.818,20.4,0.00
1773396225.847,34.1,0.00
1773396225.885,26.4,0.00
1773396225.914,34.1,0.00
1773396225.940,38.6,0.00
1773396225.988,20.7,0.00
1773396226.004,63.6,0.00
1773396226.043,25.5,0.00
1773396226.071,35.7,0.00
1773396226.115,23.1,0.00
1773396226.141,37.9,0.00
1773396226.171,33.2,0.00
1773396226.208,27.5,0.00
1773396226.239,32.2,0.00
1773396226.276,26.6,0.00
1773396226.305,34.4,0.00
1773396226.360,18.3,0.00
1773396226.377,59.9,0.00
1773396226.415,26.1,0.00
1773396226.452,27.4,0.00
1773396226.474,44.1,0.00
1773396226.518,22.9,0.00
1773396226.548,32.8,0.00
1773396226.591,23.3,0.00
