Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772678422.429,0.0,115.6,174.09,0.000,0.0
1772678422.793,2.7,62.2,168.71,5.387,0.0
1772678422.990,5.1,112.7,169.91,1.199,0.0
1772678423.119,7.8,101.4,174.57,4.665,0.0
1772678423.212,10.7,74.1,169.75,4.819,0.0
1772678423.282,14.4,53.1,169.51,0.243,0.0
1772678423.359,12.9,64.4,169.84,0.328,0.0
1772678423.430,14.1,56.0,172.65,2.817,0.0
1772678423.491,16.3,48.2,170.34,2.309,0.0
1772678423.553,16.1,48.5,171.02,0.674,0.0
1772678423.619,15.2,51.4,168.18,2.844,0.0
1772678423.685,15.1,52.2,167.94,0.238,0.0
1772678423.753,14.8,53.9,173.10,5.163,0.0
1772678423.816,15.9,48.9,171.20,1.895,0.0
1772678423.885,14.4,54.5,170.36,0.846,0.0
1772678423.960,13.4,60.6,169.67,0.685,0.0
1772678424.032,13.8,56.1,169.04,0.632,0.0
1772678424.106,13.5,57.4,168.59,0.451,0.0
1772678424.187,12.4,65.6,169.33,0.742,0.0
1772678424.262,13.4,59.6,170.27,0.936,0.0
1772678424.338,13.1,61.2,0.00,0.000,0.0
1772678424.429,11.0,72.7,167.98,2.288,0.0
1772678424.531,9.8,78.4,168.10,0.121,0.0
1772678424.621,11.1,71.7,169.65,1.548,0.0
1772678424.710,11.2,69.1,170.81,1.160,0.0
1772678424.799,11.3,69.6,168.64,2.169,0.0
1772678424.878,12.6,61.7,168.64,0.001,0.0
1772678424.958,12.5,60.4,170.34,1.693,0.0
1772678425.023,15.5,50.6,168.34,1.997,0.0
1772678425.087,15.6,49.6,168.34,0.001,0.0
1772678425.150,15.9,50.0,169.05,0.709,0.0
1772678425.215,15.3,50.6,167.23,1.819,0.0
1772678425.280,15.6,51.5,170.26,3.031,0.0
1772678425.350,14.3,56.3,169.68,0.584,0.0
1772678425.434,11.8,68.9,170.33,0.654,0.0
1772678425.497,16.0,49.3,170.22,0.115,0.0
1772678425.559,16.1,49.3,170.32,0.104,0.0
1772678425.624,15.4,50.9,174.19,3.871,0.0
1772678425.690,15.2,51.1,169.48,4.709,0.0
1772678425.756,15.1,51.4,170.52,1.040,0.0
1772678425.835,12.6,62.7,166.21,4.315,0.0
1772678425.898,15.9,49.1,169.16,2.956,0.0
1772678425.963,15.5,49.7,169.29,0.131,0.0
1772678426.047,12.0,70.1,168.97,0.325,0.0
1772678426.117,14.3,55.8,168.54,0.424,0.0
1772678426.183,15.0,52.7,168.13,0.412,0.0
1772678426.253,14.3,54.9,165.37,2.763,0.0
1772678426.320,15.1,52.7,169.25,3.884,0.0
1772678426.383,15.7,49.9,167.77,1.483,0.0
1772678426.451,14.7,53.0,169.11,1.346,0.0
1772678426.535,12.0,65.4,170.10,0.983,0.0
1772678426.601,15.1,53.1,167.56,2.543,0.0
1772678426.667,15.0,51.9,168.78,1.223,0.0
1772678426.729,16.2,48.6,168.74,0.034,0.0
1772678426.792,15.8,48.2,170.12,1.376,0.0
1772678426.857,15.6,50.9,168.45,1.670,0.0
1772678426.931,13.4,58.2,168.77,0.323,0.0
1772678426.996,15.5,51.5,168.33,0.439,0.0
1772678427.058,16.1,49.4,167.98,0.357,0.0
1772678427.133,13.4,61.0,166.06,1.912,0.0
1772678427.220,11.5,69.3,170.29,4.228,0.0
1772678427.286,15.1,51.3,170.26,0.031,0.0
1772678427.362,13.2,59.2,166.01,4.247,0.0
1772678427.425,15.9,50.3,165.58,0.430,0.0
1772678427.506,12.4,67.5,167.96,2.375,0.0
1772678427.588,12.3,63.0,169.56,1.597,0.0
1772678427.656,14.6,53.7,167.41,2.146,0.0
1772678427.736,12.5,65.8,171.18,3.765,0.0
1772678427.825,11.2,70.2,170.48,0.697,0.0
1772678427.936,9.0,92.1,168.39,2.095,0.0
1772678428.048,8.9,91.7,168.21,0.173,0.0
1772678428.150,9.8,80.9,166.55,1.657,0.0
1772678428.247,10.3,74.9,165.08,1.474,0.0
1772678428.328,12.4,62.1,167.81,2.732,0.0
1772678428.394,15.1,51.7,168.10,0.289,0.0
1772678428.460,15.2,51.3,168.51,0.412,0.0
1772678428.539,12.7,59.2,167.36,1.153,0.0
1772678428.602,15.8,49.5,167.29,0.075,0.0
1772678428.670,14.6,53.9,166.09,1.197,0.0
1772678428.736,15.3,51.9,164.80,1.286,0.0
