Timestamp,FPS,Angle
1772693921.245,0.4,169.94
1772693922.366,0.9,168.80
1772693922.558,5.2,168.91
1772693922.676,8.4,169.63
1772693922.795,8.4,169.38
1772693922.918,8.1,168.89
1772693923.055,7.3,169.40
1772693923.202,6.8,169.08
1772693923.350,6.8,169.20
1772693923.483,7.5,168.38
1772693923.637,6.5,168.26
1772693923.821,5.4,168.37
1772693923.959,7.3,168.42
1772693924.082,8.1,168.51
1772693924.200,8.5,166.42
1772693924.320,8.4,168.40
1772693924.439,8.4,168.43
1772693924.580,7.1,168.69
1772693924.695,8.7,168.67
1772693924.816,8.3,168.60
1772693924.918,9.9,168.95
1772693925.046,7.8,168.93
1772693925.167,8.2,169.03
1772693925.300,7.5,168.77
1772693925.426,7.9,168.75
1772693925.548,8.3,168.66
1772693925.676,7.8,168.92
1772693925.814,7.3,168.71
1772693925.931,8.5,168.35
1772693926.045,8.8,168.42
1772693926.181,7.3,168.77
1772693926.315,7.5,168.24
1772693926.457,7.0,168.37
1772693926.594,7.3,167.84
1772693926.727,7.5,168.42
1772693926.922,5.1,168.60
1772693927.070,6.8,168.34
1772693927.208,7.2,165.71
1772693927.350,7.1,168.50
1772693927.469,8.3,168.59
1772693927.595,8.0,168.85
1772693927.714,8.4,169.04
1772693927.834,8.4,168.54
1772693927.949,8.7,168.76
1772693928.066,8.5,168.51
1772693928.182,8.6,168.51
1772693928.301,8.4,168.78
1772693928.429,7.8,169.17
1772693928.549,8.3,168.94
1772693928.665,8.6,168.57
1772693928.783,8.5,168.84
1772693928.903,8.3,169.00
1772693929.032,7.8,168.47
1772693929.148,8.6,168.98
1772693929.289,7.1,169.11
1772693929.421,7.6,169.34
1772693929.551,7.7,168.71
1772693929.698,6.8,169.25
1772693929.829,7.6,168.96
1772693929.959,7.7,168.97
1772693930.124,6.1,169.09
1772693930.247,8.1,165.53
1772693930.387,7.2,165.46
1772693930.535,6.7,167.26
1772693930.664,7.8,169.12
1772693930.780,8.6,170.57
1772693930.897,8.5,170.42
1772693931.000,9.7,171.58
1772693931.105,9.5,173.72
1772693931.222,8.5,170.02
1772693931.350,7.8,159.56
1772693931.519,5.9,151.91
1772693931.638,8.3,114.88
1772693931.754,8.6,91.79
1772693931.875,8.3,77.89
1772693932.004,7.8,74.88
1772693932.131,7.8,74.00
1772693932.249,8.5,75.38
1772693932.379,7.7,76.40
1772693932.511,7.6,79.61
1772693932.626,8.7,90.03
1772693932.739,8.9,97.66
1772693932.868,7.7,102.10
1772693932.987,8.4,101.12
1772693933.119,7.6,102.12
1772693933.261,7.0,104.56
1772693933.392,7.6,105.33
1772693933.532,7.2,103.90
1772693933.694,6.2,105.78
1772693933.830,7.4,101.23
1772693933.946,8.6,97.46
1772693934.048,9.8,97.77
1772693934.160,9.0,99.02
1772693934.276,8.6,97.65
1772693934.395,8.4,97.82
1772693934.517,8.2,97.57
1772693934.637,8.4,98.07
1772693934.753,8.6,96.78
1772693934.879,7.9,97.62
1772693934.988,9.1,97.82
1772693935.090,9.8,98.59
1772693935.207,8.6,97.81
1772693935.326,8.4,98.04
1772693935.438,8.9,99.28
1772693935.560,8.2,98.49
1772693935.659,10.0,97.85
1772693935.770,9.1,98.81
1772693935.884,8.8,99.04
1772693936.001,8.5,97.49
1772693936.122,8.3,97.79
1772693936.229,9.3,98.11
1772693936.344,8.7,99.07
1772693936.469,8.0,97.82
1772693936.594,8.0,97.80
1772693936.723,7.7,99.28
1772693936.854,7.6,98.55
1772693937.037,5.5,100.37
1772693937.250,4.7,99.59
1772693937.373,8.2,100.75
1772693937.501,7.8,100.30
1772693937.613,8.9,99.95
1772693937.748,7.4,101.25
1772693937.888,7.1,100.82
1772693938.011,8.1,100.71
1772693938.142,7.7,100.01
1772693938.254,8.9,99.63
1772693938.396,7.1,100.79
1772693938.519,8.1,100.34
1772693938.629,9.1,100.16
1772693938.752,8.2,101.17
1772693938.876,8.1,100.46
1772693939.000,8.1,100.68
1772693939.117,8.5,99.44
1772693939.248,7.6,99.57
1772693939.383,7.4,98.25
1772693939.510,7.9,97.77
1772693939.642,7.6,97.95
1772693939.756,8.7,98.04
1772693939.887,7.6,99.31
1772693940.109,4.5,100.54
1772693940.282,5.8,100.19
1772693940.422,7.1,100.68
1772693940.590,6.0,99.71
1772693940.723,7.5,99.12
1772693940.851,7.8,96.82
1772693940.983,7.6,97.13
1772693941.103,8.3,96.54
1772693941.247,6.9,95.68
1772693941.368,8.3,94.77
1772693941.474,9.5,94.65
1772693941.596,8.2,95.75
1772693941.714,8.4,96.33
1772693941.843,7.8,95.79
1772693941.973,7.7,96.24
1772693942.087,8.8,96.55
1772693942.206,8.4,95.70
1772693942.328,8.2,97.92
1772693942.452,8.0,96.71
1772693942.584,7.6,97.49
1772693942.692,9.2,98.12
1772693942.824,7.6,97.33
1772693942.947,8.1,98.09
1772693943.075,7.8,96.83
1772693943.221,6.9,97.38
1772693943.341,8.4,98.68
1772693943.454,8.8,96.28
1772693943.589,7.4,96.57
1772693943.697,9.2,95.79
1772693943.819,8.2,97.04
1772693943.923,9.6,96.93
1772693944.053,7.7,97.24
1772693944.173,8.4,96.48
1772693944.298,8.0,96.27
1772693944.419,8.3,96.60
1772693944.550,7.6,95.54
1772693944.681,7.7,96.81
1772693944.802,8.3,96.35
1772693944.921,8.4,96.01
1772693945.040,8.4,95.63
1772693945.156,8.6,96.50
1772693945.288,7.6,97.11
1772693945.391,9.7,98.00
1772693945.500,9.2,96.66
