Timestamp,FPS,Angle
1773392007.166,0.5,167.30
1773392007.439,3.7,167.52
1773392007.647,4.8,167.79
1773392007.856,4.8,167.51
1773392008.064,4.8,167.62
1773392008.271,4.8,168.22
1773392008.469,5.1,168.06
1773392008.667,5.1,167.55
1773392008.903,4.2,167.88
1773392009.118,4.6,167.91
1773392009.334,4.6,167.57
1773392009.550,4.6,167.40
1773392009.767,4.6,167.64
1773392009.983,4.6,167.89
1773392010.186,4.9,168.12
1773392010.400,4.7,168.11
1773392010.616,4.6,167.91
1773392010.828,4.7,167.54
1773392011.051,4.5,167.69
1773392011.275,4.5,167.49
1773392011.530,3.9,168.20
1773392011.756,4.4,167.44
1773392011.979,4.5,167.32
1773392012.204,4.4,167.14
1773392012.428,4.5,168.72
1773392012.654,4.4,170.94
1773392012.878,4.4,172.86
1773392013.087,4.8,166.76
1773392013.296,4.8,145.42
1773392013.506,4.8,104.13
1773392013.714,4.8,78.43
1773392013.920,4.8,76.47
1773392014.129,4.8,77.93
1773392014.351,4.5,83.57
1773392014.577,4.4,105.60
1773392014.804,4.4,109.67
1773392015.030,4.4,110.07
1773392015.266,4.2,109.57
1773392015.491,4.4,99.83
1773392015.715,4.5,88.51
1773392015.944,4.4,89.87
1773392016.169,4.4,90.98
1773392016.403,4.3,90.16
1773392016.627,4.5,88.93
1773392016.842,4.6,90.09
1773392017.058,4.6,90.94
1773392017.274,4.6,91.09
1773392017.490,4.6,91.33
1773392017.706,4.6,90.35
1773392017.921,4.6,90.58
1773392018.138,4.6,90.95
1773392018.350,4.7,92.33
1773392018.567,4.6,90.40
1773392018.783,4.6,91.02
1773392019.000,4.6,92.57
1773392019.219,4.6,92.34
1773392019.428,4.8,91.25
1773392019.622,5.1,91.80
1773392019.816,5.2,92.35
1773392020.010,5.1,92.00
1773392020.204,5.1,91.29
1773392020.399,5.1,91.87
1773392020.593,5.1,89.83
1773392020.803,4.8,90.72
1773392021.007,4.9,89.37
1773392021.207,5.0,90.57
1773392021.406,5.0,91.44
1773392021.621,4.7,91.13
1773392021.843,4.5,91.04
1773392022.053,4.8,92.50
1773392022.266,4.7,92.76
1773392022.476,4.7,96.09
1773392022.687,4.7,97.70
1773392022.901,4.7,94.96
1773392023.114,4.7,94.65
1773392023.325,4.7,93.28
1773392023.539,4.7,93.21
1773392023.751,4.7,93.60
1773392023.962,4.7,94.51
1773392024.175,4.7,93.69
1773392024.386,4.7,95.97
1773392024.607,4.5,93.97
1773392024.800,5.2,93.63
1773392025.018,4.6,90.99
1773392025.251,4.3,93.56
1773392025.472,4.5,95.79
1773392025.677,4.9,94.55
1773392025.881,4.9,96.35
1773392026.086,4.9,93.77
1773392026.291,4.9,94.81
1773392026.510,4.6,94.85
1773392026.717,4.8,96.56
1773392026.934,4.6,94.74
1773392027.154,4.5,94.60
1773392027.373,4.6,93.16
1773392027.595,4.5,95.52
1773392027.818,4.5,93.98
1773392028.029,4.7,92.42
1773392028.242,4.7,92.43
1773392028.462,4.5,92.95
1773392028.707,4.1,92.84
1773392028.928,4.5,93.93
1773392029.149,4.5,95.54
1773392029.356,4.8,94.52
1773392029.574,4.6,91.97
1773392029.785,4.8,91.87
1773392029.991,4.8,92.12
1773392030.199,4.8,92.07
1773392030.414,4.7,92.04
1773392030.626,4.7,91.27
1773392030.853,4.4,92.20
1773392031.082,4.4,91.80
1773392031.298,4.6,92.56
1773392031.514,4.6,92.17
1773392031.716,5.0,93.35
1773392031.918,4.9,93.76
1773392032.136,4.6,92.95
1773392032.357,4.5,92.86
1773392032.574,4.6,93.86
1773392032.791,4.6,94.18
1773392033.007,4.6,94.38
1773392033.223,4.6,92.97
1773392033.451,4.4,94.09
1773392033.668,4.6,94.33
1773392033.870,5.0,95.14
1773392034.092,4.5,94.52
1773392034.317,4.4,92.37
1773392034.543,4.4,91.82
1773392034.769,4.4,93.43
1773392034.994,4.4,94.76
1773392035.221,4.4,94.17
1773392035.436,4.6,93.63
1773392035.641,4.9,103.20
1773392035.850,4.8,122.22
1773392036.079,4.4,136.14
1773392036.284,4.9,156.31
1773392036.490,4.9,165.34
1773392036.695,4.9,170.33
1773392036.899,4.9,173.62
1773392037.117,4.6,174.92
1773392037.323,4.9,171.91
1773392037.524,5.0,167.19
1773392037.735,4.7,158.93
1773392037.956,4.5,132.18
1773392038.160,4.9,104.45
1773392038.362,5.0,80.20
1773392038.573,4.7,66.81
1773392038.786,4.7,65.82
1773392038.998,4.7,70.96
1773392039.203,4.9,77.95
1773392039.436,4.3,92.67
1773392039.645,4.8,119.15
1773392039.857,4.7,142.74
1773392040.085,4.4,160.39
1773392040.315,4.3,169.10
1773392040.547,4.3,174.38
1773392040.778,4.3,174.42
1773392040.997,4.6,172.04
1773392041.203,4.8,166.17
1773392041.409,4.9,155.89
1773392041.631,4.5,124.82
1773392041.921,3.4,95.62
1773392042.145,4.5,72.28
1773392042.369,4.5,74.10
1773392042.611,4.1,81.04
1773392042.818,4.8,115.52
1773392043.040,4.5,138.89
1773392043.264,4.5,162.43
1773392043.489,4.4,170.09
1773392043.712,4.5,174.35
1773392043.937,4.5,174.54
1773392044.161,4.5,173.24
1773392044.372,4.7,168.10
1773392044.588,4.6,156.24
1773392044.800,4.7,133.43
