Timestamp,FPS,Angle
1773392270.359,0.5,168.83
1773392270.461,9.8,168.89
1773392270.500,25.8,166.42
1773392270.551,19.8,166.99
1773392270.592,24.1,168.40
1773392270.638,21.7,168.82
1773392270.686,21.0,168.60
1773392270.727,24.3,168.43
1773392270.763,27.8,168.22
1773392270.799,28.1,168.12
1773392270.835,27.9,168.29
1773392270.870,28.2,168.69
1773392270.906,27.8,168.52
1773392270.943,26.8,168.41
1773392270.979,27.7,168.67
1773392271.017,26.7,168.91
1773392271.063,21.8,168.53
1773392271.111,20.6,168.60
1773392271.151,24.9,168.52
1773392271.190,26.1,168.65
1773392271.227,26.8,168.94
1773392271.266,25.9,168.47
1773392271.303,27.0,168.56
1773392271.342,25.8,168.93
1773392271.379,26.8,168.63
1773392271.416,27.1,169.03
1773392271.453,26.7,169.15
1773392271.492,25.5,168.53
1773392271.531,26.1,168.85
1773392271.577,21.6,168.65
1773392271.625,20.9,169.07
1773392271.667,23.8,168.86
1773392271.705,26.3,168.75
1773392271.742,27.0,168.95
1773392271.789,21.4,168.88
1773392271.840,19.4,168.66
1773392271.881,24.9,169.09
1773392271.929,20.6,168.63
1773392271.970,24.7,168.92
1773392272.019,20.1,169.19
1773392272.059,25.3,169.33
1773392272.098,25.6,168.71
1773392272.134,27.5,169.02
1773392272.180,21.9,168.98
1773392272.229,20.5,168.35
1773392272.277,20.7,168.33
1773392272.325,20.6,168.42
1773392272.373,20.9,168.29
1773392272.422,20.6,168.77
1773392272.473,19.4,168.84
1773392272.522,20.6,168.44
1773392272.569,21.0,168.02
1773392272.619,20.3,168.62
1773392272.661,23.8,168.49
1773392272.709,20.6,168.20
1773392272.759,20.0,168.31
1773392272.819,16.7,168.14
1773392272.867,20.8,167.84
1773392272.915,20.7,168.41
1773392272.966,19.6,168.66
1773392273.015,20.6,168.42
1773392273.064,20.3,168.30
1773392273.112,20.7,168.28
1773392273.152,25.1,168.62
1773392273.190,26.1,168.56
1773392273.231,24.7,168.38
1773392273.269,26.2,166.75
1773392273.305,27.5,168.26
1773392273.351,21.9,168.34
1773392273.401,19.8,168.17
1773392273.451,20.3,165.59
1773392273.500,20.4,165.71
1773392273.547,21.2,168.76
1773392273.592,22.3,168.21
1773392273.641,20.4,168.50
1773392273.682,23.9,168.75
1773392273.729,21.4,166.00
1773392273.778,20.3,168.59
1773392273.828,20.3,168.99
1773392273.877,20.3,168.85
1773392273.919,23.5,168.95
1773392273.961,24.0,168.69
1773392274.001,24.8,169.04
1773392274.050,20.5,168.98
1773392274.098,20.7,168.68
1773392274.148,20.2,168.54
1773392274.188,24.8,168.39
1773392274.234,22.0,168.76
1773392274.284,20.0,168.74
1773392274.326,23.6,168.62
1773392274.365,26.0,168.51
1773392274.404,25.4,168.54
1773392274.451,21.6,168.61
1773392274.493,23.8,168.74
1773392274.540,21.1,169.24
1773392274.590,19.9,168.78
1773392274.640,20.1,168.73
1773392274.688,20.8,169.16
1773392274.738,20.1,168.80
1773392274.787,20.3,168.77
1773392274.837,20.2,168.94
1773392274.886,20.2,168.90
1773392274.936,20.0,168.56
1773392274.986,20.2,168.57
1773392275.035,20.2,169.00
1773392275.084,20.5,168.84
1773392275.133,20.4,168.75
1773392275.185,19.4,168.53
1773392275.235,19.7,168.80
1773392275.287,19.5,168.47
1773392275.336,20.2,168.65
1773392275.375,26.0,169.33
1773392275.410,28.5,168.98
1773392275.446,27.6,168.66
1773392275.482,28.0,168.51
1773392275.529,20.9,169.03
1773392275.567,26.9,169.11
1773392275.616,20.4,168.88
1773392275.664,20.7,169.02
1773392275.713,20.5,169.34
1773392275.763,19.9,168.92
1773392275.812,20.4,168.95
1773392275.861,20.5,168.71
1773392275.903,23.6,167.14
1773392275.941,26.8,167.32
1773392275.977,27.2,168.63
1773392276.014,26.9,169.20
1773392276.056,24.2,169.00
1773392276.094,26.4,168.96
1773392276.133,25.3,168.79
1773392276.169,27.9,169.23
1773392276.204,28.3,168.64
1773392276.243,26.0,168.97
1773392276.302,16.9,165.67
1773392276.363,16.5,166.03
1773392276.413,19.8,168.44
1773392276.461,20.9,165.89
1773392276.508,21.2,166.44
1773392276.556,21.1,165.17
1773392276.603,21.0,165.03
1773392276.652,20.6,165.46
1773392276.700,20.7,165.50
1773392276.750,20.0,165.41
1773392276.801,19.5,167.26
1773392276.849,20.8,167.20
1773392276.899,20.2,168.73
1773392276.949,20.0,169.12
1773392276.998,20.2,169.82
1773392277.049,19.9,169.30
1773392277.098,20.3,170.24
1773392277.139,24.1,170.71
1773392277.180,24.3,170.42
1773392277.220,25.1,171.12
1773392277.261,24.7,171.13
1773392277.308,21.3,171.58
1773392277.351,23.2,173.81
1773392277.388,26.6,173.72
1773392277.427,25.6,173.47
1773392277.465,26.5,170.01
1773392277.503,26.2,170.02
1773392277.541,26.5,167.56
1773392277.590,20.4,165.25
1773392277.638,20.6,159.56
1773392277.688,20.0,159.37
1773392277.739,19.9,157.18
1773392277.780,24.0,149.22
1773392277.828,21.2,142.94
1773392277.876,20.6,131.56
1773392277.926,20.3,114.88
1773392277.972,21.4,104.76
1773392278.022,20.2,91.79
1773392278.066,23.0,87.59
1773392278.104,26.0,82.05
1773392278.142,26.4,78.68
1773392278.179,27.0,77.89
1773392278.218,25.9,75.25
1773392278.256,26.1,74.88
1773392278.295,25.7,74.90
1773392278.342,21.4,75.16
1773392278.393,19.3,74.00
1773392278.444,19.9,74.35
1773392278.495,19.6,74.08
1773392278.545,20.1,75.38
1773392278.592,21.0,75.54
1773392278.643,19.8,76.39
1773392278.691,20.8,76.72
1773392278.740,20.2,76.59
1773392278.789,20.5,79.61
