Timestamp,FPS,Angle
1773392149.821,0.5,164.45
1773392149.953,7.6,164.80
1773392150.027,13.5,164.98
1773392150.106,12.7,164.43
1773392150.177,14.1,164.62
1773392150.255,12.9,165.17
1773392150.335,12.4,165.14
1773392150.416,12.4,164.84
1773392150.490,13.5,164.65
1773392150.565,13.5,165.04
1773392150.636,14.1,165.49
1773392150.714,12.7,165.37
1773392150.828,8.8,164.68
1773392150.905,12.9,164.73
1773392150.987,12.3,164.82
1773392151.070,12.0,165.02
1773392151.153,12.0,164.72
1773392151.237,11.9,164.58
1773392151.323,11.7,164.44
1773392151.407,11.9,164.37
1773392151.489,12.1,164.70
1773392151.572,12.1,164.48
1773392151.656,11.8,164.80
1773392151.739,12.1,164.74
1773392151.815,13.2,165.11
1773392151.887,13.9,164.76
1773392151.957,14.2,164.67
1773392152.027,14.3,164.47
1773392152.099,14.0,164.88
1773392152.170,14.0,164.75
1773392152.240,14.3,164.99
1773392152.310,14.3,164.43
1773392152.415,9.5,164.19
1773392152.532,8.6,164.97
1773392152.606,13.4,164.75
1773392152.688,12.3,164.08
1773392152.773,11.6,164.40
1773392152.857,11.9,164.40
1773392152.941,12.0,164.08
1773392153.025,11.9,164.69
1773392153.107,12.1,164.60
1773392153.221,8.8,164.08
1773392153.327,9.4,164.38
1773392153.441,8.8,164.77
1773392153.557,8.6,164.06
1773392153.643,11.6,164.53
1773392153.743,10.0,164.31
1773392153.826,12.0,164.64
1773392153.913,11.5,164.76
1773392154.000,11.5,164.12
1773392154.086,11.6,164.63
1773392154.175,11.3,164.92
1773392154.261,11.6,164.86
1773392154.345,11.9,164.73
1773392154.429,11.9,164.73
1773392154.514,11.8,164.09
1773392154.590,13.2,165.08
1773392154.675,11.8,164.04
1773392154.756,12.4,164.24
1773392154.833,12.9,164.64
1773392154.907,13.6,164.29
1773392154.993,11.6,164.24
1773392155.077,12.0,163.97
1773392155.153,13.0,164.10
1773392155.234,12.4,164.43
1773392155.320,11.6,165.01
1773392155.407,11.5,165.77
1773392155.495,11.4,166.62
1773392155.572,12.9,169.51
1773392155.647,13.3,169.47
1773392155.748,10.0,170.37
1773392155.821,13.6,170.51
1773392155.895,13.6,171.30
1773392155.970,13.3,172.34
1773392156.046,13.2,175.24
1773392156.130,11.9,172.59
1773392156.208,12.9,168.02
1773392156.283,13.2,162.90
1773392156.385,9.9,149.60
1773392156.486,9.9,125.52
1773392156.560,13.5,102.69
1773392156.635,13.2,90.85
1773392156.711,13.3,81.92
1773392156.787,13.2,77.74
1773392156.858,14.1,74.54
1773392156.929,14.0,73.79
1773392157.001,13.9,74.26
1773392157.072,14.0,76.01
1773392157.143,14.0,76.45
1773392157.223,12.4,77.17
1773392157.305,12.2,79.14
1773392157.388,12.0,81.42
1773392157.512,8.1,90.27
1773392157.587,13.4,97.16
1773392157.657,14.2,104.24
1773392157.728,14.0,107.46
1773392157.800,14.0,106.23
1773392157.871,14.1,105.25
1773392157.943,13.9,105.33
1773392158.015,13.8,105.61
1773392158.096,12.4,104.96
1773392158.165,14.4,104.13
1773392158.235,14.4,103.90
1773392158.304,14.4,103.28
1773392158.374,14.4,100.76
1773392158.443,14.5,99.96
1773392158.513,14.2,99.00
1773392158.583,14.3,98.34
1773392158.652,14.5,95.48
1773392158.723,14.0,94.12
1773392158.793,14.4,92.39
1773392158.870,12.9,91.38
1773392158.952,12.3,93.31
1773392159.065,8.9,94.90
1773392159.154,11.2,93.38
1773392159.252,10.3,92.18
1773392159.335,12.0,90.93
1773392159.415,12.5,90.65
1773392159.528,8.9,90.09
1773392159.652,8.0,91.30
1773392159.772,8.3,91.24
1773392159.895,8.1,91.93
1773392160.025,7.7,92.82
1773392160.109,11.9,92.47
1773392160.194,11.8,94.21
1773392160.278,11.9,94.75
1773392160.362,11.8,94.90
1773392160.446,11.9,93.31
1773392160.520,13.5,94.73
1773392160.591,14.1,92.42
1773392160.661,14.3,92.43
1773392160.733,13.8,92.84
1773392160.814,12.4,91.36
1773392160.886,13.8,93.36
1773392160.965,12.7,93.06
1773392161.046,12.3,93.21
1773392161.117,14.1,92.19
1773392161.186,14.5,93.10
1773392161.256,14.4,93.21
1773392161.327,14.1,94.96
1773392161.399,13.7,93.83
1773392161.554,6.5,92.47
1773392161.668,8.8,94.61
1773392161.742,13.5,94.57
1773392161.823,12.4,93.91
1773392161.944,8.2,93.94
1773392162.033,11.4,94.29
1773392162.154,8.2,95.92
1773392162.231,13.1,95.21
1773392162.302,13.9,95.31
1773392162.374,13.9,95.39
1773392162.447,13.7,95.36
1773392162.518,14.1,95.08
1773392162.589,14.1,94.55
1773392162.672,12.1,95.53
1773392162.759,11.5,96.10
1773392162.846,11.5,95.87
1773392162.932,11.6,95.26
1773392163.018,11.6,95.10
1773392163.102,11.9,94.25
1773392163.189,11.5,94.76
1773392163.273,11.9,93.54
1773392163.361,11.4,94.41
1773392163.446,11.7,94.17
1773392163.533,11.5,94.31
1773392163.622,11.3,94.03
1773392163.707,11.7,94.94
1773392163.794,11.4,94.07
1773392163.880,11.7,93.99
1773392163.967,11.5,94.13
1773392164.051,11.9,94.20
1773392164.124,13.7,94.31
1773392164.208,12.0,92.81
1773392164.294,11.5,93.12
1773392164.381,11.5,93.65
1773392164.465,12.0,92.95
1773392164.548,12.0,94.06
1773392164.624,13.3,94.20
1773392164.700,13.1,94.21
1773392164.776,13.1,94.54
1773392164.863,11.6,94.26
1773392164.948,11.7,95.64
1773392165.022,13.6,96.10
1773392165.092,14.3,96.05
1773392165.189,10.2,94.57
1773392165.307,8.5,95.44
1773392165.394,11.6,94.57
1773392165.471,13.0,95.56
1773392165.546,13.3,94.64
1773392165.623,12.9,93.94
1773392165.699,13.1,92.20
1773392165.782,12.0,93.35
1773392165.869,11.6,91.30
