Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772685377.751,1.8,551.8,0.00,0.000,0.0
1772685379.370,0.6,131.8,0.00,0.000,0.0
1772685379.538,5.9,157.8,158.35,0.000,0.0
1772685379.690,6.6,139.8,0.00,0.000,0.0
1772685379.880,5.3,178.9,0.00,0.000,0.0
1772685380.067,5.3,174.5,159.47,1.126,0.0
1772685380.362,3.4,284.2,0.00,0.000,0.0
1772685380.559,5.1,187.2,0.00,0.000,0.0
1772685380.665,9.4,100.7,0.00,0.000,0.0
1772685380.784,8.4,111.9,0.00,0.000,0.0
1772685380.901,8.6,109.5,0.00,0.000,0.0
1772685381.013,8.9,105.2,0.00,0.000,0.0
1772685381.120,9.3,100.3,0.00,0.000,0.0
1772685381.221,9.9,94.7,0.00,0.000,0.0
1772685381.325,9.6,98.9,0.00,0.000,0.0
1772685381.447,8.2,116.3,0.00,0.000,0.0
1772685381.545,10.2,91.6,0.00,0.000,0.0
1772685381.648,9.7,97.5,0.00,0.000,0.0
1772685381.759,9.0,104.8,0.00,0.000,0.0
1772685381.880,8.3,115.0,0.00,0.000,0.0
1772685381.992,8.9,106.2,0.00,0.000,0.0
1772685382.115,8.1,114.4,0.00,0.000,0.0
1772685382.218,9.7,97.1,0.00,0.000,0.0
1772685382.323,9.6,98.4,0.00,0.000,0.0
1772685382.439,8.6,111.4,0.00,0.000,0.0
1772685382.531,10.9,86.3,0.00,0.000,0.0
1772685382.647,8.6,110.4,0.00,0.000,0.0
1772685382.760,8.9,106.9,0.00,0.000,0.0
1772685382.863,9.7,97.2,0.00,0.000,0.0
1772685382.961,10.1,92.6,0.00,0.000,0.0
1772685383.088,7.9,119.7,0.00,0.000,0.0
1772685383.205,8.5,106.5,0.00,0.000,0.0
1772685383.314,9.1,101.5,0.00,0.000,0.0
1772685383.442,7.9,120.6,0.00,0.000,0.0
1772685383.622,5.5,172.5,0.00,0.000,0.0
1772685383.760,7.2,130.7,156.67,2.805,0.0
1772685383.886,7.9,118.5,0.00,0.000,0.0
1772685383.984,10.2,88.8,0.00,0.000,0.0
1772685384.084,10.0,94.2,0.00,0.000,0.0
1772685384.190,9.5,99.7,0.00,0.000,0.0
1772685384.292,9.8,96.0,0.00,0.000,0.0
1772685384.397,9.5,100.4,0.00,0.000,0.0
1772685384.491,10.7,86.2,0.00,0.000,0.0
1772685384.598,9.3,102.3,138.76,17.902,0.0
1772685384.707,9.2,101.1,136.98,1.783,0.0
1772685384.817,9.1,103.6,129.37,7.610,0.0
1772685384.920,9.7,97.3,123.73,5.643,0.0
